pr_id,reason_label,reason_summary,confidence
2756921963,P1_LOW_PRIORITY_OR_STALE,"The pull request was marked as stale due to lack of activity in the last 14 days, and it has not been updated or reviewed since its creation.",0.9
2757103560,P1_LOW_PRIORITY_OR_STALE,"The pull request was closed without being merged, and the signals indicate that it was not prioritized or reviewed, becoming stale and eventually closed due to inactivity.",0.8
2757124156,P1_LOW_PRIORITY_OR_STALE,"The PR was not merged due to lack of activity and inactivity, which led to its closure.",0.9
2757125491,P1_LOW_PRIORITY_OR_STALE,"The PR was not merged due to lack of activity and inactivity, with the bot closing it after 7 days without further review.",0.9
2757179026,P1_LOW_PRIORITY_OR_STALE,"The PR was not merged due to inactivity, as it has not seen any activity for a while and will be closed in 7 days unless further activity is detected.",0.9
2757829316,P1_LOW_PRIORITY_OR_STALE,"The pull request was closed without being merged, and there is no indication of a technical issue or disagreement. The lack of updates or comments suggests that the author may have lost interest or attention, leading to the stale state.",0.8
2758105942,P1_LOW_PRIORITY_OR_STALE,"The pull request was closed due to inactivity, with no recent activity or comments from the author, indicating that it became stale and was eventually closed mainly due to lack of attention.",0.9
2758200405,P1_LOW_PRIORITY_OR_STALE,"The pull request was not merged due to lack of attention and inactivity, as indicated by the closed date being only 13 minutes after creation.",0.9
2758379503,P1_LOW_PRIORITY_OR_STALE,"The pull request was closed without being merged, and the signals indicate that it was not prioritized or reviewed, becoming stale and eventually closed mainly due to inactivity or lack of attention.",0.8
2758636941,P1_LOW_PRIORITY_OR_STALE,"The PR was closed due to inactivity, with no recent updates or reviews after its creation on December 25, 2024.",0.9
2759847657,P1_LOW_PRIORITY_OR_STALE,"The PR was not merged due to lack of attention and inactivity, as indicated by the closed date being only one day after creation.",0.8
2760044965,P1_LOW_PRIORITY_OR_STALE,"The pull request was closed without being merged, and the timeline shows that it was not actively reviewed or addressed after its creation, indicating a lack of priority or attention.",0.8
2760115428,P1_LOW_PRIORITY_OR_STALE,"The pull request was closed due to inactivity, indicating that it was not prioritized or reviewed, and eventually became stale.",0.9
2760117241,P1_LOW_PRIORITY_OR_STALE,"The pull request was closed due to inactivity, with no recent activity or updates after its creation on December 26, 2024.",0.9
2760266883,P1_LOW_PRIORITY_OR_STALE,"The PR was not merged due to inactivity and lack of attention, resulting in it being marked as stale and eventually closed.",0.9
2760297589,U1_UNKNOWN,The PR context does not provide enough information to infer a plausible reason for why the pull request was closed without being merged.,0.5
2760305985,P1_LOW_PRIORITY_OR_STALE,"The PR was not merged due to inactivity and lack of attention, as indicated by the comment 'Closing for now because the UI sucks' from pumfleet.",0.9
2761288801,P1_LOW_PRIORITY_OR_STALE,"The pull request was closed due to inactivity, with no recent activity or updates after its creation on December 27, 2024.",0.9
2761312980,P1_LOW_PRIORITY_OR_STALE,"The PR was not merged due to inactivity, as it remained open for an extended period and was marked as stale by the GitHub Actions bot.",0.9
2761411256,T1_CI_OR_TEST_FAILURE,"The PR's tests failed, but the context does not provide information on how to resolve these failures, leading to a closed pull request without merging.",0.8
2761413721,P1_LOW_PRIORITY_OR_STALE,"The pull request was closed without being merged, and there is no indication of a technical issue or disagreement in the review process. The PR has been open for a short period, suggesting it may have been prioritized low or stuck in the backlog.",0.8
2761443934,P1_LOW_PRIORITY_OR_STALE,"The pull request was closed without being merged, and there is no indication of a technical issue or disagreement in the review process. The PR was likely stuck in the backlog due to lack of attention or prioritization.",0.8
2762054930,U1_UNKNOWN,The PR context does not provide enough information to infer a plausible reason why the pull request was closed without being merged.,0.8
2762228850,P1_LOW_PRIORITY_OR_STALE,"The PR was not merged due to lack of attention and inactivity, as indicated by the closed date being over a month after the last update.",0.8
2762297369,P1_LOW_PRIORITY_OR_STALE,"The pull request was closed without being merged, and there is no indication of a technical issue or disagreement in the review process. The PR has been open for 2 days, which suggests that it may have been prioritized low or stuck in the backlog.",0.8
2762301500,P1_LOW_PRIORITY_OR_STALE,"The pull request was closed due to inactivity, with no recent activity or updates after its creation on December 29, 2024.",0.9
2762310020,P1_LOW_PRIORITY_OR_STALE,"The pull request was closed without being merged, and there is no indication of a technical issue or disagreement in the review process. The PR was likely stuck in the backlog due to lack of attention.",0.8
2763308355,P1_LOW_PRIORITY_OR_STALE,"The pull request was closed due to inactivity, indicating that it was not prioritized or reviewed, and eventually became stale.",0.9
2763430169,P1_LOW_PRIORITY_OR_STALE,"The pull request was closed due to inactivity, with no recent activity or updates after January 6th, indicating it had become stale and was not prioritized.",0.8
2763461870,P1_LOW_PRIORITY_OR_STALE,"The pull request was closed without being merged, and the timeline shows that it remained open for only one day before being closed. The review comments suggest that the author is actively engaged with the community, but there is no indication of any technical issues or conflicts.",0.8
2763610953,P1_LOW_PRIORITY_OR_STALE,"The pull request was closed without being merged, and the timeline shows that it remained open for only one day before being closed. The review comments suggest that the changes were impactful but needed further improvements to enhance code quality and maintainability.",0.8
2763678225,P1_LOW_PRIORITY_OR_STALE,"The pull request was closed without being merged, and there is no indication of a technical issue or disagreement in the review process. The PR has been open for only one day, suggesting that it may have been prioritized low or stuck in the backlog.",0.8
